#group,false,false,false,false,false,false,true,false,false
#datatype,string,long,string,string,string,string,string,string,string
#default,_result,,,,,,,,
,result,table,direction_entry,direction_exit,entered_time,exit_time,vehicle_id,vehicle_type_entry,vehicle_type_exit
,,49,East,,2025-05-17T04:42:25.447000000Z,,1081,car,
,,49,North,East,2025-05-17T09:36:08.474000000Z,2025-05-17T09:36:12.519000000Z,1081,car,car
,,50,East,,2025-05-17T07:20:16.314000000Z,,1082,car,
,,50,South,,2025-05-17T09:36:17.986000000Z,,1082,car,
,,51,North,,2025-05-17T09:36:14.657000000Z,,1084,car,
,,52,East,South,2025-05-17T07:20:40.469000000Z,2025-05-17T07:20:43.247000000Z,1086,car,car
,,52,South,,2025-05-17T09:36:22.649000000Z,,1086,car,
,,53,East,North,2025-05-17T07:20:46.558000000Z,2025-05-17T07:20:49.397000000Z,1088,car,car
,,54,,North,,2025-05-17T09:36:21.538000000Z,1089,,car
,,55,East,,2025-05-17T04:42:38.480000000Z,,1098,car,
,,56,East,,2025-05-17T04:42:34.407000000Z,,1099,car,
,,57,South,,2025-05-17T03:08:47.163000000Z,,11,car,
,,58,,East,,2025-05-17T02:16:50.730000000Z,110,,car
,,58,South,,2025-05-17T03:07:07.956000000Z,,110,car,
,,59,South,East,2025-05-17T04:42:28.250000000Z,2025-05-17T04:42:32.404000000Z,1101,car,car
,,60,,East,,2025-05-17T04:42:58.693000000Z,1107,,car
,,60,East,North,2025-05-17T07:21:21.730000000Z,2025-05-17T07:21:24.707000000Z,1107,car,car
,,61,,North,,2025-05-17T07:21:15.646000000Z,1108,,car
,,62,,East,,2025-05-17T03:44:31.144000000Z,111,,bus
,,62,South,South,2025-05-17T04:05:46.639000000Z,2025-05-17T04:05:48.666000000Z,111,car,car
,,63,North,East,2025-05-17T07:21:29.092000000Z,2025-05-17T07:21:47.349000000Z,1110,car,car
,,64,South,South,2025-05-17T07:21:36.490000000Z,2025-05-17T07:21:37.062000000Z,1111,bus,bus
,,65,East,South,2025-05-17T07:21:52.146000000Z,2025-05-17T07:21:54.680000000Z,1115,car,car
,,65,North,East,2025-05-17T09:37:16.232000000Z,2025-05-17T09:37:16.747000000Z,1115,car,car
,,66,South,East,2025-05-17T04:43:11.613000000Z,2025-05-17T04:43:14.159000000Z,1116,car,car
,,67,South,East,2025-05-17T04:43:18.144000000Z,2025-05-17T04:43:22.933000000Z,1117,car,car
,,67,North,North,2025-05-17T07:21:58.148000000Z,2025-05-17T07:21:58.634000000Z,1117,car,car
,,68,North,,2025-05-17T03:44:33.634000000Z,,112,car,
,,69,South,,2025-05-17T09:37:32.607000000Z,,1122,car,
,,70,South,East,2025-05-17T04:43:22.933000000Z,2025-05-17T04:43:25.116000000Z,1124,car,car
,,70,North,South,2025-05-17T07:22:45.255000000Z,2025-05-17T07:22:47.403000000Z,1124,car,car
,,70,South,North,2025-05-17T09:37:40.102000000Z,2025-05-17T09:37:44.943000000Z,1124,car,car
,,71,South,North,2025-05-17T04:43:26.214000000Z,2025-05-17T04:43:30.023000000Z,1125,car,car
,,72,South,South,2025-05-17T04:43:32.117000000Z,2025-05-17T04:43:29.474000000Z,1126,car,car
,,73,South,,2025-05-17T04:43:34.674000000Z,,1128,bus,
,,73,North,South,2025-05-17T07:23:11.778000000Z,2025-05-17T07:23:15.615000000Z,1128,car,car
,,74,South,,2025-05-17T07:23:17.973000000Z,,1129,car,
,,74,South,North,2025-05-17T09:37:43.646000000Z,2025-05-17T09:37:48.427000000Z,1129,car,car
,,75,,South,,2025-05-17T03:44:40.809000000Z,113,,car
,,76,South,South,2025-05-17T04:43:42.164000000Z,2025-05-17T04:43:43.201000000Z,1130,car,car
,,77,South,,2025-05-17T04:43:48.567000000Z,,1132,car,
,,78,East,,2025-05-17T09:37:56.546000000Z,,1133,car,
,,79,,South,,2025-05-17T09:38:01.713000000Z,1135,,truck
,,79,East,,2025-05-17T09:37:57.623000000Z,,1135,truck,
,,80,,North,,2025-05-17T07:23:20.986000000Z,1138,,car
,,81,,East,,2025-05-17T03:14:54.086000000Z,114,,car
,,81,,East,,2025-05-17T03:53:09.282000000Z,114,,car
,,81,South,East,2025-05-17T02:49:13.717000000Z,2025-05-17T02:49:21.231000000Z,114,car,car
,,82,South,South,2025-05-17T04:44:10.552000000Z,2025-05-17T04:44:11.038000000Z,1141,truck,bus
,,82,South,,2025-05-17T09:38:20.657000000Z,,1141,car,
,,83,East,South,2025-05-17T04:44:33.554000000Z,2025-05-17T04:44:37.227000000Z,1142,car,car
,,83,East,,2025-05-17T09:38:27.373000000Z,,1142,car,
,,84,East,,2025-05-17T04:44:24.995000000Z,,1144,car,
,,84,North,East,2025-05-17T09:38:35.047000000Z,2025-05-17T09:38:36.600000000Z,1144,car,car
,,85,South,East,2025-05-17T04:44:40.473000000Z,2025-05-17T04:44:47.398000000Z,1145,car,car
,,86,South,North,2025-05-17T09:38:48.936000000Z,2025-05-17T09:38:52.485000000Z,1146,car,car
,,87,South,,2025-05-17T09:38:55.843000000Z,,1148,car,
,,88,,East,,2025-05-17T07:24:00.189000000Z,1149,,car
,,88,South,,2025-05-17T09:39:12.236000000Z,,1149,car,
,,89,North,South,2025-05-17T04:44:34.099000000Z,2025-05-17T04:44:40.988000000Z,1152,car,car
,,90,South,South,2025-05-17T07:24:12.378000000Z,2025-05-17T07:24:11.322000000Z,1157,bus,truck
,,91,North,South,2025-05-17T07:24:16.790000000Z,2025-05-17T07:24:20.126000000Z,1158,car,car
,,92,,East,,2025-05-17T03:53:16.057000000Z,116,,car
,,92,North,South,2025-05-17T04:06:23.559000000Z,2025-05-17T04:06:28.787000000Z,116,car,car
,,93,South,,2025-05-17T04:44:50.852000000Z,,1160,car,
,,94,,East,,2025-05-17T07:25:09.475000000Z,1162,,car
,,95,East,,2025-05-17T04:45:38.420000000Z,,1165,car,
,,96,,South,,2025-05-17T09:39:20.834000000Z,1166,,car
,,96,South,,2025-05-17T07:25:21.113000000Z,,1166,car,
,,97,South,East,2025-05-17T04:45:41.562000000Z,2025-05-17T04:45:46.076000000Z,1167,car,car
,,98,South,South,2025-05-17T04:45:37.891000000Z,2025-05-17T04:45:39.962000000Z,1168,car,car
,,98,South,South,2025-05-17T09:39:36.525000000Z,2025-05-17T09:39:40.553000000Z,1168,car,car
,,99,South,South,2025-05-17T04:45:56.058000000Z,2025-05-17T04:45:53.958000000Z,1169,car,car
,,99,North,,2025-05-17T09:39:41.135000000Z,,1169,car,
,,100,East,South,2025-05-17T04:06:37.200000000Z,2025-05-17T04:06:43.936000000Z,117,car,car
,,100,South,South,2025-05-17T05:29:51.301000000Z,2025-05-17T05:29:51.826000000Z,117,bus,bus
,,101,South,,2025-05-17T07:25:25.673000000Z,,1170,car,
,,102,South,,2025-05-17T09:39:59.954000000Z,,1171,motorcycle,
,,103,East,,2025-05-17T04:46:05.419000000Z,,1173,car,
,,103,South,North,2025-05-17T07:25:34.555000000Z,2025-05-17T07:25:38.322000000Z,1173,car,truck
,,104,,North,,2025-05-17T04:46:05.419000000Z,1174,,car
,,104,,South,,2025-05-17T09:39:59.954000000Z,1174,,car
,,104,South,,2025-05-17T04:45:59.028000000Z,,1174,car,
,,104,East,,2025-05-17T07:25:45.418000000Z,,1174,car,
,,105,East,,2025-05-17T07:25:58.197000000Z,,1179,car,
,,106,East,South,2025-05-17T06:22:11.744000000Z,2025-05-17T06:22:14.325000000Z,118,car,car
,,107,,South,,2025-05-17T09:40:14.847000000Z,1181,,bus
,,108,East,North,2025-05-17T07:26:07.752000000Z,2025-05-17T07:26:13.769000000Z,1183,car,motorcycle
,,109,,South,,2025-05-17T04:46:12.099000000Z,1184,,bus
,,110,East,,2025-05-17T09:41:01.236000000Z,,1185,car,
,,111,South,,2025-05-17T04:46:15.691000000Z,,1186,car,
,,111,North,South,2025-05-17T07:26:00.914000000Z,2025-05-17T07:26:04.709000000Z,1186,car,car
,,112,East,,2025-05-17T07:26:12.662000000Z,,1187,motorcycle,
,,113,South,West,2025-05-17T02:32:49.600000000Z,2025-05-17T02:32:50.970000000Z,119,truck,truck
,,113,North,West,2025-05-17T03:15:06.224000000Z,2025-05-17T06:22:28.166000000Z,119,motorcycle,
,,113,South,,2025-05-17T06:22:15.898000000Z,,119,car,car
,,114,South,,2025-05-17T04:46:21.422000000Z,,1190,car,
,,115,South,,2025-05-17T09:41:17.870000000Z,,1193,car,
,,116,,North,,2025-05-17T09:41:22.948000000Z,1194,,car
,,116,East,,2025-05-17T04:46:31.329000000Z,,1194,car,
,,117,South,,2025-05-17T09:41:32.457000000Z,,1195,car,
,,118,North,East,2025-05-17T04:46:37.153000000Z,2025-05-17T04:46:38.336000000Z,1199,car,car
,,119,North,,2025-05-17T04:01:46.227000000Z,,12,car,
,,119,South,,2025-05-17T06:16:54.265000000Z,,12,car,
,,120,,South,,2025-05-17T02:33:04.619000000Z,120,,car
,,120,South,East,2025-05-17T04:06:43.364000000Z,2025-05-17T04:06:46.063000000Z,120,truck,truck
,,121,,South,,2025-05-17T09:41:58.106000000Z,1201,,bus
,,122,North,East,2025-05-17T07:26:58.144000000Z,2025-05-17T07:26:59.638000000Z,1203,car,car
,,123,South,South,2025-05-17T04:46:53.964000000Z,2025-05-17T04:46:53.450000000Z,1208,car,car
,,124,North,,2025-05-17T04:46:50.219000000Z,,1209,car,
,,125,,West,,2025-05-17T02:33:09.259000000Z,121,,bus
,,125,South,North,2025-05-17T06:22:28.166000000Z,2025-05-17T06:22:34.512000000Z,121,car,car
,,126,East,,2025-05-17T04:47:06.912000000Z,,1210,car,
,,126,South,South,2025-05-17T09:42:12.548000000Z,2025-05-17T09:42:14.092000000Z,1210,car,car
,,127,North,South,2025-05-17T07:27:12.609000000Z,2025-05-17T07:27:15.716000000Z,1211,car,car
,,128,North,,2025-05-17T04:47:06.322000000Z,,1213,car,
,,129,North,,2025-05-17T04:47:20.120000000Z,,1215,car,
,,129,East,,2025-05-17T07:27:50.222000000Z,,1215,car,
,,130,,South,,2025-05-17T04:47:13.771000000Z,1216,,car
,,130,,South,,2025-05-17T09:42:18.663000000Z,1216,,car
,,130,South,North,2025-05-17T07:27:40.431000000Z,2025-05-17T07:27:46.448000000Z,1216,car,car
,,131,,North,,2025-05-17T07:27:37.517000000Z,1219,,car
,,131,East,North,2025-05-17T09:42:26.041000000Z,2025-05-17T09:42:29.589000000Z,1219,truck,truck
,,132,South,,2025-05-17T04:47:17.701000000Z,,1220,car,
,,132,South,East,2025-05-17T07:27:44.630000000Z,2025-05-17T07:27:47.058000000Z,1220,car,car
,,132,South,North,2025-05-17T09:42:26.615000000Z,2025-05-17T09:42:32.520000000Z,1220,car,car
,,133,,North,,2025-05-17T07:27:41.627000000Z,1221,,car
,,134,South,North,2025-05-17T09:42:31.298000000Z,2025-05-17T09:42:37.188000000Z,1223,car,car
,,135,South,,2025-05-17T04:47:25.446000000Z,,1225,car,
,,136,North,,2025-05-17T04:47:44.463000000Z,,1226,car,
,,137,East,South,2025-05-17T04:47:31.932000000Z,2025-05-17T04:47:34.590000000Z,1228,car,car
,,137,East,,2025-05-17T09:42:47.222000000Z,,1228,car,
,,138,South,,2025-05-17T05:29:55.255000000Z,,123,car,
,,139,South,East,2025-05-17T07:28:01.128000000Z,2025-05-17T07:28:03.688000000Z,1231,car,car
,,140,East,,2025-05-17T07:28:28.073000000Z,,1232,truck,
,,141,South,North,2025-05-17T07:28:07.690000000Z,2025-05-17T07:28:12.543000000Z,1234,car,truck
,,142,East,,2025-05-17T07:28:14.099000000Z,,1239,truck,
,,142,East,,2025-05-17T09:42:56.589000000Z,,1239,bus,
,,143,North,East,2025-05-17T02:49:45.071000000Z,2025-05-17T02:49:48.086000000Z,124,car,car
