Time (s),Vehicle ID,Vehicle Type,Speed (m/s),Acceleration (m/s²),Custom Emission Value
1.0,t_0,DEFAULT_VEHTYPE,0.0,0.0,0.1
1.0,t_1,DEFAULT_VEHTYPE,0.0,0.0,0.1
1.0,t_2,DEFAULT_BIKETYPE,0.0,0.0,0.1
2.0,t_0,DEFAULT_VEHTYPE,2.1255339903524146,2.1255339903524146,4.351067980704829
2.0,t_1,DEFAULT_VEHTYPE,2.081548582506366,2.081548582506366,4.263097165012732
2.0,t_2,DEFAULT_BIKETYPE,0.6990340886637568,0.6990340886637568,1.4980681773275137
3.0,t_0,DEFAULT_VEHTYPE,3.8917453708825636,1.766211380530149,5.757956751412712
3.0,t_1,DEFAULT_VEHTYPE,4.659781947429292,2.578233364922926,7.338015312352217
3.0,t_2,DEFAULT_BIKETYPE,1.7056378102395682,1.0066037215758112,2.8122415318153795
4.0,t_0,DEFAULT_VEHTYPE,6.2247527702478695,2.333007399365306,8.657760169613175
4.0,t_1,DEFAULT_VEHTYPE,3.9798902196885564,-0.6798917277407357,3.3999984919478208
4.0,t_2,DEFAULT_BIKETYPE,2.8367401011753826,1.1311022909358144,4.067842392111197
5.0,t_0,DEFAULT_VEHTYPE,8.798648175573907,2.573895405326038,11.472543580899945
5.0,t_1,DEFAULT_VEHTYPE,4.814419289685927,0.8345290699973704,5.748948359683297
5.0,t_2,DEFAULT_BIKETYPE,3.746092802938074,0.9093527017626912,4.755445504700765
6.0,t_0,DEFAULT_VEHTYPE,8.051216660770775,-0.7474315148031323,7.4037851459676425
6.0,t_1,DEFAULT_VEHTYPE,4.886261422846608,0.07184213316068089,5.058103556007288
6.0,t_2,DEFAULT_BIKETYPE,4.544694298831746,0.798601495893672,5.443295794725417
7.0,t_0,DEFAULT_VEHTYPE,8.429902639873513,0.3786859791027375,8.90858861897625
7.0,t_1,DEFAULT_VEHTYPE,3.9944943235564523,-0.8917670992901554,3.202727224266297
7.0,t_2,DEFAULT_BIKETYPE,5.0783648841114095,0.5336705852796637,5.712035469391073
8.0,t_0,DEFAULT_VEHTYPE,8.43543350096345,0.005530861089937389,8.540964362053387
8.0,t_1,DEFAULT_VEHTYPE,4.848327958195611,0.8538336346391588,5.80216159283477
8.0,t_2,DEFAULT_BIKETYPE,5.333763407313575,0.2553985232021656,5.68916193051574
9.0,t_0,DEFAULT_VEHTYPE,8.531801992263832,0.09636849130038172,8.728170483564213
9.0,t_1,DEFAULT_VEHTYPE,4.855874833169534,0.0075468749739231455,4.963421708143457
9.0,t_2,DEFAULT_BIKETYPE,5.252243340391045,-0.08152006692253,5.270723273468515
10.0,t_0,DEFAULT_VEHTYPE,8.626579088629411,0.09477709636557918,8.82135618499499
10.0,t_1,DEFAULT_VEHTYPE,5.123594755593828,0.2677199224242939,5.491314678018122
10.0,t_2,DEFAULT_BIKETYPE,5.260302882272129,0.008059541881084265,5.368362424153213
11.0,t_0,DEFAULT_VEHTYPE,7.9157471824252985,-0.7108319062041124,7.304915276221186
11.0,t_1,DEFAULT_VEHTYPE,4.890094293638273,-0.23350046195555496,4.756593831682718
11.0,t_2,DEFAULT_BIKETYPE,5.422313396542643,0.16201051427051372,5.6843239108131565
12.0,t_0,DEFAULT_VEHTYPE,7.945929605774769,0.030182423349470078,8.07611202912424
12.0,t_1,DEFAULT_VEHTYPE,4.181117588731601,-0.7089767049066724,3.5721408838249284
12.0,t_2,DEFAULT_BIKETYPE,5.49032090264683,0.06800750610418671,5.658328408751016
13.0,t_0,DEFAULT_VEHTYPE,7.968432247433999,0.022502641659229994,8.090934889093228
13.0,t_1,DEFAULT_VEHTYPE,4.460327677897942,0.27921008916634094,4.839537767064282
13.0,t_2,DEFAULT_BIKETYPE,5.091069666811576,-0.399251235835254,4.791818430976321
14.0,t_0,DEFAULT_VEHTYPE,8.224584827972762,0.2561525805387639,8.580737408511526
14.0,t_1,DEFAULT_VEHTYPE,5.024829898689084,0.5645022207911419,5.689332119480225
14.0,t_2,DEFAULT_BIKETYPE,5.597256960396965,0.5061872935853895,6.203444253982354
15.0,t_0,DEFAULT_VEHTYPE,8.431492483876832,0.2069076559040699,8.738400139780902
15.0,t_1,DEFAULT_VEHTYPE,5.124389041059792,0.09955914237070829,5.3239481834305
15.0,t_2,DEFAULT_BIKETYPE,5.364094468069573,-0.23316249232739228,5.23093197574218
16.0,t_0,DEFAULT_VEHTYPE,8.208110581017285,-0.22338190285954695,8.084728678157738
16.0,t_1,DEFAULT_VEHTYPE,4.768514438260488,-0.35587460279930383,4.512639835461184
16.0,t_2,DEFAULT_BIKETYPE,5.097204668543612,-0.2668897995259609,4.930314869017651
17.0,t_0,DEFAULT_VEHTYPE,8.019043330224418,-0.18906725079286701,7.929976079431551
17.0,t_1,DEFAULT_VEHTYPE,4.798607627356566,0.030093189096078277,4.928700816452644
17.0,t_2,DEFAULT_BIKETYPE,5.3497031200242535,0.25249845148064143,5.702201571504895
18.0,t_0,DEFAULT_VEHTYPE,7.548661911725254,-0.4703814184991648,7.178280493226088
18.0,t_1,DEFAULT_VEHTYPE,5.057405153553143,0.2587975261965765,5.416202679749719
18.0,t_2,DEFAULT_BIKETYPE,5.036831211814036,-0.3128719082102176,4.823959303603818
19.0,t_0,DEFAULT_VEHTYPE,8.729897214011476,1.1812353022862228,10.011132516297698
19.0,t_1,DEFAULT_VEHTYPE,4.791457391002356,-0.26594776255078667,4.625509628451569
19.0,t_2,DEFAULT_BIKETYPE,5.201519230337192,0.1646880185231563,5.466207248860348
20.0,t_0,DEFAULT_VEHTYPE,8.496744872913883,-0.2331523410975933,8.36359253181629
20.0,t_1,DEFAULT_VEHTYPE,4.0120117913774695,-0.7794455996248866,3.332566191752583
20.0,t_2,DEFAULT_BIKETYPE,5.2555603103743245,0.05404108003713226,5.409601390411456
21.0,t_0,DEFAULT_VEHTYPE,8.020185266789236,-0.4765596061246473,7.643625660664588
21.0,t_1,DEFAULT_VEHTYPE,4.011298993074476,-0.0007127983029935336,4.110586194771482
21.0,t_2,DEFAULT_BIKETYPE,5.46433290811566,0.20877259774133528,5.773105505856995
22.0,t_0,DEFAULT_VEHTYPE,8.468502540751548,0.4483172739623118,9.016819814713859
22.0,t_1,DEFAULT_VEHTYPE,4.661567895354844,0.6502689022803683,5.411836797635212
22.0,t_2,DEFAULT_BIKETYPE,5.170515287298088,-0.29381762081757135,4.976697666480517
23.0,t_0,DEFAULT_VEHTYPE,8.816971726603994,0.348469185852446,9.26544091245644
23.0,t_1,DEFAULT_VEHTYPE,4.811740887009679,0.1501729916548351,5.061913878664514
23.0,t_2,DEFAULT_BIKETYPE,5.029441961509486,-0.14107332578860277,4.9883686357208825
24.0,t_0,DEFAULT_VEHTYPE,8.548024422307686,-0.268947304296308,8.379077118011377
24.0,t_1,DEFAULT_VEHTYPE,4.717702878809675,-0.09403800820000452,4.72366487060967
24.0,t_2,DEFAULT_BIKETYPE,5.386816855104019,0.35737489359453356,5.844191748698552
25.0,t_0,DEFAULT_VEHTYPE,8.551254707486555,0.003230285178869252,8.654484992665424
25.0,t_1,DEFAULT_VEHTYPE,5.006407657878614,0.2887047790689392,5.395112436947553
25.0,t_2,DEFAULT_BIKETYPE,5.048785492175569,-0.33803136292844993,4.810754129247119
26.0,t_0,DEFAULT_VEHTYPE,8.69278955923412,0.14153485174756497,8.934324410981684
26.0,t_1,DEFAULT_VEHTYPE,4.199580315997034,-0.8068273418815801,3.492752974115454
26.0,t_2,DEFAULT_BIKETYPE,5.172924046361198,0.12413855418562836,5.397062600546826
27.0,t_0,DEFAULT_VEHTYPE,8.722549482090585,0.029759922856465337,8.85230940494705
27.0,t_1,DEFAULT_VEHTYPE,4.74364649472586,0.5440661787288263,5.387712673454686
27.0,t_2,DEFAULT_BIKETYPE,5.352076149828111,0.17915210346691346,5.631228253295024
28.0,t_0,DEFAULT_VEHTYPE,8.09298419664167,-0.6295652854489155,7.563418911192754
28.0,t_1,DEFAULT_VEHTYPE,4.288179654239818,-0.455466840486042,3.9327128137537763
28.0,t_2,DEFAULT_BIKETYPE,5.11013308517014,-0.24194306465797144,4.968190020512168
29.0,t_0,DEFAULT_VEHTYPE,8.778703922713362,0.6857197260716923,9.564423648785054
29.0,t_1,DEFAULT_VEHTYPE,4.024980272448878,-0.2631993817909404,3.8617808906579376
29.0,t_2,DEFAULT_BIKETYPE,5.131663131670406,0.02153004650026613,5.2531931781706716
30.0,t_0,DEFAULT_VEHTYPE,8.44315256989114,-0.3355513528222218,8.207601217068918
30.0,t_1,DEFAULT_VEHTYPE,4.027997493704921,0.003017221256043534,4.131014714960965
30.0,t_2,DEFAULT_BIKETYPE,5.453294654379909,0.32163152270950324,5.874926177089412
31.0,t_0,DEFAULT_VEHTYPE,8.372944042184576,-0.07020852770656383,8.402735514478012
31.0,t_1,DEFAULT_VEHTYPE,6.136765755379051,2.10876826167413,8.34553401705318
31.0,t_2,DEFAULT_BIKETYPE,5.104131456840163,-0.34916319753974623,4.854968259300416
32.0,t_0,DEFAULT_VEHTYPE,8.34960414481368,-0.023339897370895812,8.426264247442784
32.0,t_1,DEFAULT_VEHTYPE,6.435609743573181,0.29884398819412983,6.834453731767311
32.0,t_2,DEFAULT_BIKETYPE,5.359261870340754,0.2551304135005914,5.714392283841345
33.0,t_0,DEFAULT_VEHTYPE,8.661599521064387,0.3119953762507066,9.073594897315093
33.0,t_1,DEFAULT_VEHTYPE,7.203294707895383,0.7676849643222017,8.070979672217584
33.0,t_2,DEFAULT_BIKETYPE,5.262168552403649,-0.09709331793710518,5.2650752344665435
34.0,t_0,DEFAULT_VEHTYPE,8.05593645219244,-0.6056630688719462,7.550273383320494
34.0,t_1,DEFAULT_VEHTYPE,6.709502909695856,-0.4937917981995268,6.315711111496329
34.0,t_2,DEFAULT_BIKETYPE,5.239015565908824,-0.023152986494825,5.315862579413999
35.0,t_0,DEFAULT_VEHTYPE,8.339988548499718,0.2840520963072777,8.724040644806996
35.0,t_1,DEFAULT_VEHTYPE,6.92499494987087,0.21549204017501378,7.240486990045883
35.0,t_2,DEFAULT_BIKETYPE,5.437517020155986,0.19850145424716192,5.7360184744031475
36.0,t_0,DEFAULT_VEHTYPE,8.700856756586768,0.3608682080870498,9.161724964673818
36.0,t_1,DEFAULT_VEHTYPE,7.801228737868495,0.8762337879976254,8.77746252586612
36.0,t_2,DEFAULT_BIKETYPE,5.29900289671806,-0.13851412343792635,5.260488773280133
37.0,t_0,DEFAULT_VEHTYPE,8.737434660205805,0.03657790361903679,8.874012563824841
37.0,t_1,DEFAULT_VEHTYPE,6.615709058488846,-1.1855196793796496,5.530189379109196
37.0,t_2,DEFAULT_BIKETYPE,5.208182899517317,-0.09081999720074219,5.217362902316575
38.0,t_0,DEFAULT_VEHTYPE,7.95613728471119,-0.7812973754946153,7.274839909216574
38.0,t_1,DEFAULT_VEHTYPE,7.2607221687586385,0.6450131102697929,8.005735279028432
38.0,t_2,DEFAULT_BIKETYPE,5.16541432673422,-0.04276857278309709,5.222645753951123
39.0,t_0,DEFAULT_VEHTYPE,8.61321457764618,0.6570772929349911,9.370291870581172
39.0,t_1,DEFAULT_VEHTYPE,6.857420941107102,-0.40330122765153664,6.554119713455565
39.0,t_2,DEFAULT_BIKETYPE,5.169749505588164,0.004335178853943411,5.274084684442107
40.0,t_0,DEFAULT_VEHTYPE,7.775104094487801,-0.8381104831583794,7.036993611329422
40.0,t_1,DEFAULT_VEHTYPE,7.363992945025801,0.5065720039186994,7.9705649489445
40.0,t_2,DEFAULT_BIKETYPE,5.21156787691017,0.041818371322006165,5.353386248232176
41.0,t_0,DEFAULT_VEHTYPE,8.026583336182126,0.2514792416943248,8.37806257787645
41.0,t_1,DEFAULT_VEHTYPE,7.597270528683565,0.23327758365776408,7.930548112341329
41.0,t_2,DEFAULT_BIKETYPE,5.230247051225354,0.018679174315184177,5.348926225540538
42.0,t_0,DEFAULT_VEHTYPE,8.228102800045349,0.20151946386322273,8.529622263908571
42.0,t_1,DEFAULT_VEHTYPE,7.209293604935646,-0.38797692374791914,6.921316681187727
42.0,t_2,DEFAULT_BIKETYPE,5.326275869136055,0.09602881791070139,5.5223046870467565
43.0,t_0,DEFAULT_VEHTYPE,8.114215905340576,-0.11388689470477331,8.100329010635802
43.0,t_1,DEFAULT_VEHTYPE,6.6505067712302655,-0.5587868337053807,6.191719937524884
43.0,t_2,DEFAULT_BIKETYPE,5.3329575792451696,0.006681710109114114,5.439639289354283
44.0,t_0,DEFAULT_VEHTYPE,8.46416167058535,0.34994576524477417,8.914107435830124
44.0,t_1,DEFAULT_VEHTYPE,6.571622363375626,-0.07888440785463935,6.592737955520986
44.0,t_2,DEFAULT_BIKETYPE,5.219338022408386,-0.11361955683678371,5.205718465571602
45.0,t_0,DEFAULT_VEHTYPE,8.756925300304033,0.2927636297186833,9.149688930022716
45.0,t_1,DEFAULT_VEHTYPE,7.064166635451965,0.4925442720763389,7.6567109075283035
45.0,t_2,DEFAULT_BIKETYPE,5.55367913008978,0.3343411076813938,5.988020237771173
46.0,t_0,DEFAULT_VEHTYPE,8.742205205285178,-0.014720095018855517,8.827485110266322
46.0,t_1,DEFAULT_VEHTYPE,6.8813972328232005,-0.1827694026287645,6.798627830194436
46.0,t_2,DEFAULT_BIKETYPE,5.269970767342796,-0.2837083627469834,5.0862624045958125
47.0,t_0,DEFAULT_VEHTYPE,7.9066894819542775,-0.8355157233309001,7.171173758623377
