Vehicle Type,Total Distance (km),CO2 Emissions (g),NOx Emissions (g),PMx Emissions (g),SOx Emissions (g),HC Emissions (g),CO Emissions (g),Vehicle Count,CO2 Dispersion (µg/m3),NOx Dispersion (µg/m3),PMx Dispersion (µg/m3),SOx Dispersion (µg/m3),HC Dispersion (µg/m3),CO Dispersion (µg/m3)
DEFAULT_VEHTYPE,0.7909613525717123,118.64420288575684,0.31638454102868496,0.015819227051434247,0.008700574878288835,4.745768115430273,39.15258695229976,2,29999999.999999993,80000.0,3999.9999999999995,2199.9999999999995,1199999.9999999995,9899999.999999998
DEFAULT_BIKETYPE,0.467014553442259,42.03130980980331,0.0934029106884518,0.00467014553442259,0.005137160087864849,2.802087320653554,23.117220395391822,1,18000000.000000004,40000.0,2000.0000000000002,2200.0,1200000.0,9900000.000000002
