Vehicle Type,CO2 Emissions (g),NOx Emissions (g),PMx Emissions (g),Vehicle Count
DEFAULT_VEHTYPE,375168.2224162879,1000.4485931101012,50.02242965550506,117
DEFAULT_BIKETYPE,172781.4918460123,383.95887076891626,19.197943538445813,92
